Case,Comparison,Reader1,Reader2,Pre/Post,Organ,Dice Score
Case_06,Expert vs Novice,Maria,Burcin,post,tumor,0.5789332857652515
Case_06,Expert vs Novice,Maria,Onur,post,tumor,0.7587357255891536
Case_06,Experts,Natally,Maria,post,tumor,0.8189505473763684
Case_06,Novices,Burcin,Onur,post,tumor,0.6188761934575051
Case_07,Expert vs Novice,Natally,Burcin,pre,pancreas,0.8421742503276891
Case_07,Expert vs Novice,Natally,Onur,pre,pancreas,0.9039771075303371
Case_07,Expert vs Novice,Maria,Burcin,pre,pancreas,0.8459072562328848
Case_07,Expert vs Novice,Maria,Onur,pre,pancreas,0.8815684419079162
Case_07,Experts,Natally,Maria,pre,pancreas,0.8746887477715077
Case_07,Novices,Burcin,Onur,pre,pancreas,0.8471064954581438
Case_07,Expert vs Novice,Natally,Burcin,pre,tumor,0.7330646209855676
Case_07,Expert vs Novice,Natally,Onur,pre,tumor,0.8046324269889225
Case_07,Expert vs Novice,Maria,Burcin,pre,tumor,0.6446575342465753
Case_07,Expert vs Novice,Maria,Onur,pre,tumor,0.7648643793784803
Case_07,Experts,Natally,Maria,pre,tumor,0.6934318830841593
Case_07,Novices,Burcin,Onur,pre,tumor,0.7206023271731691
Case_07,Expert vs Novice,Natally,Burcin,post,pancreas,0.687606873080435
Case_07,Expert vs Novice,Natally,Onur,post,pancreas,0.8485321817430055
Case_07,Expert vs Novice,Maria,Burcin,post,pancreas,0.751882722254009
Case_07,Expert vs Novice,Maria,Onur,post,pancreas,0.82971271317183
Case_07,Experts,Natally,Maria,post,pancreas,0.83762037770459
Case_07,Novices,Burcin,Onur,post,pancreas,0.6832815846713268
Case_07,Expert vs Novice,Natally,Burcin,post,tumor,0.21635711958292603
Case_07,Expert vs Novice,Natally,Onur,post,tumor,0.2855906533967979
Case_07,Expert vs Novice,Maria,Burcin,post,tumor,0.5696535244922342
Case_07,Expert vs Novice,Maria,Onur,post,tumor,0.7306682229355121
Case_07,Experts,Natally,Maria,post,tumor,0.37130339539978097
Case_07,Novices,Burcin,Onur,post,tumor,0.6436830835117773
Case_09,Expert vs Novice,Natally,Burcin,pre,pancreas,0.761184277396216
Case_09,Expert vs Novice,Natally,Onur,pre,pancreas,0.8859512366122084
Case_09,Expert vs Novice,Maria,Burcin,pre,pancreas,0.809792177950604
Case_09,Expert vs Novice,Maria,Onur,pre,pancreas,0.8792119565217391
Case_09,Experts,Natally,Maria,pre,pancreas,0.8623294912457131
Case_09,Novices,Burcin,Onur,pre,pancreas,0.7759261255434587
Case_09,Expert vs Novice,Natally,Burcin,pre,tumor,0.0
Case_09,Expert vs Novice,Natally,Onur,pre,tumor,0.5270721067487811
Case_09,Expert vs Novice,Maria,Burcin,pre,tumor,0.0
Case_09,Expert vs Novice,Maria,Onur,pre,tumor,0.4964788732394366
Case_09,Experts,Natally,Maria,pre,tumor,0.2802273172643543
Case_09,Novices,Burcin,Onur,pre,tumor,0.0
Case_09,Expert vs Novice,Natally,Burcin,post,pancreas,0.8473703714832287
Case_09,Expert vs Novice,Natally,Onur,post,pancreas,0.8857849054434672
